Salitix_Client_Number,Salitix_Customer_Number,SAL_Invoice_Type,Unit_Funding_Type,Reference_Number,Line_Description,Deal_Type,Invoice_No,Invoice_Date,Promotion_No,Product_No,Start_Date,End_Date,Quantity,Unit_Price,Net_Amount,VAT_Rate,Gross_Amount,Store_Format,Invoice_Description,Acquisition_Ind
,,,,,MCVITIES MILK CHOC HOBNOBS 262G PRICE PROMOTION FR 65.27 |20.0ANCESCA HAYES,,TIO0936656,22/09/2020,,,10/08/2020,16/08/2020,196.00,0.333,65.27,0.19993871610234412,78.32,,P11 2020 AMBIENT MULITI FRANCHISE ONLY WK 3,Automatic
,,,,,Wrong Year,,TIO0969593,17/12/2020,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TIO0979690,14/01/2021,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TIO0986652,29/01/2021,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TIO0999852,11/03/2021,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TIOO0886020,03/04/2020,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TIOO0908056,16/06/2020,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,KP MINI CHEDDARS BIG BAG ONLY £3.50 OR LESS BUYERHELEN KERFOOT,,TIOO0909015,18/06/2020,,,01/06/2020,07/06/2020,641,0.105,67.31,0.0,67.31,,P8 2020 FRESH MULTI TCG ONLY WK 3 of 3,Automatic
,,,,,Wrong Year,,TIOO808054,09/08/2019,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TIOO808655,15/08/2019,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,KP MINI CHEDDARS BIG BAG ONLY £3.50 OR LESS BUYERHELEN KERFOOT,,TIOO885056,02/04/2020,,,16/03/2020,22/03/2020,464,0.105,48.72,0.0,48.72,,P5 2020 Fresh MULTI TCG ONLY WK 1 of 3,Automatic
,,,,,Wrong Year,,TIOO966667,11/12/2020,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,KP MINI CHEDDARS BIG BAG ONLY £3.50 OR LESS BUYERHELEN KERFOOT,,TIOO9S00900,21/05/2020,,,04/05/2020,10/05/2020,484,0.105,50.82,0.0,50.82,,P7 2020 Fresh MULTI TCG ONLY WK 2 of 3,Automatic
